word,rank,rank_a,cluster,type
good,1,1,1,l
old,44,28,28,d
unique,0,0,0,u
confident,62,75,75,l
ungrateful,86,120,120,d
healthy,60,39,39,l
limited,14,51,51,d
great,2,4,4,l
yellow,34,98,98,u
serious,102,283,283,l
creative,0,2,2,l
fat,16,57,57,d
earth,64,101,101,u
funny,7,13,13,l
enought,88,235,235,d
new,9,7,7,l
free,76,168,168,u
beer,79,212,212,d
attractive,5,22,22,d
own,25,20,20,u
honest,11,19,19,l
honest,24,19,19,u
great,14,4,4,u
athlete,58,232,232,u
beautiful,87,241,241,l
submissive,43,118,118,u
kind,14,44,44,l
tired,45,139,139,d
wrong,103,274,274,d
positive,12,12,12,l
bad,6,23,23,d
goofy,22,61,61,u
worrier,43,133,133,d
curious,66,64,64,u
open,22,71,71,l
critical,2,18,18,d
unusual,94,207,207,u
nice,4,9,9,l
impatient,13,49,49,d
indecisive,56,161,161,d
many,7,11,11,u
mad,27,85,85,d
athletic,17,25,25,u
quirky,102,215,215,u
unique,41,0,0,l
individual,48,37,37,l
negative,22,73,73,d
loyal,16,31,31,l
able,4,6,6,u
proud,105,278,278,l
positive,8,12,12,u
optimistic,25,82,82,l
create,97,210,210,u
empathy,20,67,67,l
brave,59,136,136,u
hard-working,55,279,279,l
only,6,27,27,u
capable,71,72,72,l
common,54,131,131,u
attractive,18,22,22,l
musician,78,220,220,l
lazy,1,10,10,d
shy,0,8,8,d
facial,48,58,58,u
good,1,1,1,u
large,21,34,34,u
able,8,6,6,l
selfish,95,113,113,d
mean,7,36,36,d
huge,15,46,46,l
low,24,76,76,d
wide,23,43,43,u
difficult,98,62,62,d
anger,116,253,253,u
green,30,50,50,l
skilled,66,192,192,l
obsessional,81,217,217,d
different,2,14,14,u
successful,24,78,78,l
unhappy,35,110,110,d
female,15,40,40,u
strong,10,15,15,l
much,100,41,41,u
spontaneous,85,80,80,l
egotistical,128,276,276,u
loyal,133,31,31,u
least,68,74,74,l
social,3,24,24,d
one-handed,111,238,238,u
artistic,106,93,93,l
overweight,11,47,47,d
own,21,20,20,l
judgmental,108,280,280,d
silent,95,209,209,u
wonderful,74,254,254,l
other,5,5,5,u
jealous,12,48,48,d
many,9,11,11,d
new,11,7,7,u
Scottish,55,132,132,u
civilian,44,260,260,u
hard,3,3,3,l
productive,96,257,257,d
dependable,75,213,213,l
most,9,17,17,u
most,28,17,17,l
least,77,74,74,d
front,40,59,59,l
pinky,108,224,224,u
overeactive,48,144,144,d
fun,84,237,237,l
anxious,17,66,66,d
tall,31,86,86,u
persistent,29,81,81,l
exotic,87,186,186,u
more,10,45,45,d
picky,30,90,90,u
physical,26,83,83,l
emotional,26,79,79,d
conservative,51,103,103,d
independent,98,267,267,l
quick,25,35,35,d
play,125,268,268,u
depressive,49,147,147,d
odd,68,148,148,u
other,5,5,5,l
tough,66,189,189,d
overall,46,56,56,u
curious,50,64,64,l
helpless,94,256,256,d
empathetic,93,204,204,u
intelligent,6,16,16,l
unable,19,53,53,d
